Company,Title,Mức lương,Số lượng tuyển,Hình thức làm việc,Cấp bậc,Giới tính,Kinh nghiệm,Links
CÔNG TY TNHH PHẦN MỀM ALLIANCE,Data Analyst,25-35 triệu,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,https://www.topcv.vn/viec-lam/data-analyst/842539.html?ta_source=JobSearchList
Công ty CP Thế giới Di Động,Data Analyst,Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/viec-lam/data-analyst/847698.html?ta_source=JobSearchList
CÔNG TY TNHH XUẤT NHẬP KHẨU PHÁT TRIỂN ĐÔNG DƯƠNG - TẬP ĐOÀN THỂ THAO KINGSPORT,Chuyên Viên Phân Tích Thống Kê ( (Data Analyst),35-45 triệu,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,https://www.topcv.vn/brand/xnkphattriendongduong/tuyen-dung/chuyen-vien-phan-tich-thong-ke-data-analyst-j842737.html?ta_source=JobSearchList
Công ty cổ phần Phân bón Dầu khí Cà Mau,Chuyên Viên Data Analyst,Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,https://www.topcv.vn/viec-lam/chuyen-vien-data-analyst/839449.html?ta_source=JobSearchList
CÔNG TY TNHH PUZZLE STUDIO,Data Analyst,10-15 triệu,2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/viec-lam/data-analyst/468705.html?ta_source=JobSearchList
Lotte mart,Chuyên Viên Phân Tích Dữ Liệu - Data Analyst,Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-data-analyst/785373.html?ta_source=JobSearchList
Ngân Hàng TNHH MTV Shinhan Việt Nam,Data Analyst - HCM,Tới 16 triệu,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,https://www.topcv.vn/viec-lam/data-analyst-hcm/833265.html?ta_source=JobSearchList
CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN MIRAE ASSET (VIỆT NAM),Data Analyst Executive,Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/viec-lam/data-analyst-executive/832190.html?ta_source=JobSearchList
CÔNG TY TNHH THƯƠNG MẠI GEARVN,Data Analyst (Business Intelligence),Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,https://www.topcv.vn/viec-lam/data-analyst-business-intelligence/660441.html?ta_source=JobSearchList
Ngân Hàng TNHH MTV Shinhan Việt Nam,Data Analyst (HCM),Tới 16 triệu,2 người,Toàn thời gian,Nhân viên,Nữ,Dưới 1 năm,https://www.topcv.vn/viec-lam/data-analyst-hcm/830822.html?ta_source=JobSearchList
công ty Viễn Thông Phương Nam,Chuyên Viên Phân Tích Dữ Liệu - Data Analytics,15-20 triệu,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-data-analytics/829405.html?ta_source=JobSearchList
Công ty TNHH Lửa Á Châu,Chuyên Viên Phân Tích Dữ Liệu Mạng Xã Hội (Social Media Data Analyst),Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-mang-xa-hoi-social-media-data-analyst/339679.html?ta_source=JobSearchList
CÔNG TY TNHH UNICALL,Chuyên Viên Phân Tích Dữ Liệu Tháng 10,Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-thang-10/828614.html?ta_source=JobSearchList
Ngân Hàng TMCP Xuất Nhập Khẩu Việt Nam (Eximbank),Phân Tích Số Liệu (Data Analyst) [Ngân Hàng Điện Tử],Thoả thuận,2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/viec-lam/phan-tich-so-lieu-data-analyst-ngan-hang-dien-tu/709958.html?ta_source=JobSearchList
CÔNG TY TNHH SHARESOURCE,Data Analyst - Fresher/ Junior,Tới 10 triệu,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,Không yêu cầu kinh nghiệm,https://www.topcv.vn/viec-lam/data-analyst-fresher-junior/821991.html?ta_source=JobSearchList
CÔNG TY TNHH AMANOTES VIỆT NAM,Data Analyst - Music Game,Trên 25 triệu,4 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,https://www.topcv.vn/viec-lam/data-analyst-music-game/820982.html?ta_source=JobSearchList
Công ty TNHH Skylink Group,Senior Data Analyst,Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,https://www.topcv.vn/viec-lam/senior-data-analyst/817666.html?ta_source=JobSearchList
CÔNG TY TNHH FINAN (SoBanHang),Data Analyst Intern,2-3 triệu,1 người,Thực tập,Thực tập sinh,Không yêu cầu,Không yêu cầu kinh nghiệm,https://www.topcv.vn/viec-lam/data-analyst-intern/845686.html?ta_source=JobSearchList
DATATYK COMPANY LIMITED,Data Analyst,Tới 30 triệu,1 người,Toàn thời gian,Nhân viên,Nữ,1 năm,https://www.topcv.vn/viec-lam/data-analyst/696484.html?ta_source=JobSearchList
Ngân Hàng TMCP Xuất Nhập Khẩu Việt Nam (Eximbank),Chuyên Viên Phân Tích Dữ Liệu & Báo Cáo,Thoả thuận,2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-du-lieu-bao-cao/841805.html?ta_source=JobSearchList
Công ty Cổ phần VIN3S,Data Analyst,Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,4 năm,https://www.topcv.vn/viec-lam/data-analyst/840625.html?ta_source=JobSearchList
CÔNG TY TNHH EROC COMMERCE (VIỆT NAM),Nhân Viên Phân Tích Dữ Liệu Kinh Doanh,10-15 triệu,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/viec-lam/nhan-vien-phan-tich-du-lieu-kinh-doanh/839965.html?ta_source=JobSearchList
Công ty cổ phần Hai Bốn Bảy,Chuyên Viên Phân Tích Dữ Liệu,12-15 triệu,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-du-lieu/839678.html?ta_source=JobSearchList
CÔNG TY TNHH FINAN (SoBanHang),"Data Analyst (BI Controller) _ Lương Upto $1,500","1,000-1,500 USD",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,https://www.topcv.vn/viec-lam/data-analyst-bi-controller-luong-upto-1-500/838249.html?ta_source=JobSearchList
Công ty TNHH Shopee Express,Data Analyst (Operations Support) - Shopee Xpress,Thoả thuận,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,https://www.topcv.vn/viec-lam/data-analyst-operations-support-shopee-xpress/801787.html?ta_source=JobSearchList
Công Ty TNHH TransCosmos Việt Nam,Data Analyst (Contact/Call Center),Tới 30 triệu,1 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/brand/transcosmosvietnam/tuyen-dung/data-analyst-contact-call-center-j834750.html?ta_source=JobSearchList
Ngân hàng TMCP Phát triển TP. HCM (HDBank),Thực Tập Sinh Phân Tích Dữ Liệu,Trên 3 triệu,2 người,Thực tập,Thực tập sinh,Không yêu cầu,Không yêu cầu kinh nghiệm,https://www.topcv.vn/viec-lam/thuc-tap-sinh-phan-tich-du-lieu/833798.html?ta_source=JobSearchList
Meow House,Thực Tập Sinh Data Analyst,0.5-2 triệu,2 người,Thực tập,Thực tập sinh,Không yêu cầu,Không yêu cầu kinh nghiệm,https://www.topcv.vn/viec-lam/thuc-tap-sinh-data-analyst/828323.html?ta_source=JobSearchList
Công ty TNHH Lửa Á Châu,Thực Tập Sinh Phân Tích Dữ Liệu Mạng Xã Hội (Social Media Data Analyst Intern),Thoả thuận,2 người,Thực tập,Thực tập sinh,Không yêu cầu,Không yêu cầu kinh nghiệm,https://www.topcv.vn/viec-lam/thuc-tap-sinh-phan-tich-du-lieu-mang-xa-hoi-social-media-data-analyst-intern/334071.html?ta_source=JobSearchList
CÔNG TY TNHH TT UREKA VIỆT NAM,Data Analyst Intern (Ad Network),Tới 2 triệu,1 người,Thực tập,Thực tập sinh,Không yêu cầu,Không yêu cầu kinh nghiệm,https://www.topcv.vn/viec-lam/data-analyst-intern-ad-network/690727.html?ta_source=JobSearchList
Công Ty TNHH OKXE Việt Nam,Data Analyst,Tới 38 triệu,2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,https://www.topcv.vn/viec-lam/data-analyst/788572.html?ta_source=JobSearchList
